"Title","Source","Date","Url","Category"
"Software stocks are on fire. Here’s why the party can keep going this year.","MarketWatch",2025-02-16 20:13:00,https://www.marketwatch.com/story/software-stocks-are-on-fire-and-the-party-can-keep-on-going-this-year-b3d93295?mod=mw_rss_topstories,Market
"Asian Shares Start Off Cautious Amid US-EU Tension: Markets Wrap","Bloomberg",2025-02-16 20:11:32,https://www.bloomberg.com/news/articles/2025-02-16/asia-set-for-cautious-open-as-us-eu-tensions-rise-markets-wrap,Market
"Japan’s Economy Recovered In Second Half But Barely Grew in 2024","The New York Times",2025-02-16 20:01:55,https://www.nytimes.com/2025/02/16/business/japan-2024-gdp-yen.html,Market
"Asia shares becalmed, dollar on back foot","Reuters",2025-02-16 19:40:17,https://www.reuters.com/markets/asia/global-markets-wrapup-1-2025-02-17/,Market
"Can AI prevent loneliness? It does in this mentor program for older adults and kids.","MarketWatch",2025-02-16 19:32:00,https://www.marketwatch.com/story/can-ai-prevent-loneliness-it-does-in-this-mentor-program-for-older-adults-and-kids-475486dd?mod=mw_rss_topstories,Market
"China Slows Rather Than Halts Copper Smelting’s Breakneck Growth","Bloomberg",2025-02-16 19:18:43,https://www.bloomberg.com/news/articles/2025-02-17/china-slows-rather-than-halts-copper-smelting-s-breakneck-growth,Market
"Japan's economy expands annualised 2.8% in Oct-Dec","Reuters",2025-02-16 19:11:44,https://www.reuters.com/world/japan/japans-economy-expands-annualised-28-oct-dec-2025-02-16/,Market
"Oil Slips on Prospect of Increased Supply From Iraq and Russia","Bloomberg",2025-02-16 18:31:26,https://www.bloomberg.com/news/articles/2025-02-16/latest-oil-market-news-and-analysis-for-feb-17,Market
"Traders Pile Into Hong Kong Options After DeepSeek Wake-Up Call","Bloomberg",2025-02-16 18:00:00,https://www.bloomberg.com/news/articles/2025-02-16/traders-pile-into-hong-kong-options-after-deepseek-wake-up-call,Market
"Michael Burry Trimmed Some China Tech Bets Before DeepSeek-Driven Rally","Bloomberg",2025-02-16 17:53:42,https://www.bloomberg.com/news/articles/2025-02-16/michael-burry-trimmed-some-china-tech-bets-before-deepseek-driven-rally,Market
"Dollar Swings Drive Creative Yen Bulls to European-Based Trades","Bloomberg",2025-02-16 17:30:24,https://www.bloomberg.com/news/articles/2025-02-16/dollar-swings-drive-creative-yen-bulls-to-european-based-trades,Market
"Warren Buffett’s 2025 letter to Berkshire shareholders is coming soon. Watch this number.","MarketWatch",2025-02-16 17:22:00,https://www.marketwatch.com/story/warren-buffetts-2025-letter-to-berkshire-shareholders-is-coming-soon-watch-this-number-47c4f751?mod=mw_rss_topstories,Market
"Morning Bid: Dollar, tech and tariff delays fuel rotation plays","Reuters",2025-02-16 17:04:11,https://www.reuters.com/markets/asia/global-markets-view-asia-graphics-2025-02-16/,Market
"Defaulted Chinese Companies Face Rising Risks in Court Hearings","Bloomberg",2025-02-16 17:00:00,https://www.bloomberg.com/news/articles/2025-02-16/defaulted-chinese-companies-face-rising-risks-in-court-hearings,Market
"Five Key Charts to Watch in Global Commodity Markets This Week","Bloomberg",2025-02-16 17:00:00,https://www.bloomberg.com/news/articles/2025-02-16/five-key-charts-to-watch-in-global-commodity-markets-this-week,Market
"BOJ Nearing End of Bank Stock Sales Shifts Focus to ETF Assets","Bloomberg",2025-02-16 16:00:00,https://www.bloomberg.com/news/articles/2025-02-16/boj-nearing-end-of-bank-stock-sales-shifts-focus-to-etf-assets,Market
"Week ahead: Investors await Fed minutes, manufacturing update","Yahoo Finance",2025-02-16 15:47:18,https://finance.yahoo.com/news/stocks-near-record-highs-as-investors-await-fed-minutes-manufacturing-update-what-to-know-this-week-124503855.html,Market
